ST,east,north,up,azimuth,distance
741012027.0,721.2485914279738,1060.6599382079282,-0.12876800653782539,34.21569598018891,1282.6531234734052
741012047.0,806.1023723967121,1060.660218519952,-0.13897863585532377,37.234854742769215,1332.2166242523772
741012067.0,890.9547601237699,1060.6599607277858,-0.15006637547605806,40.030271722366024,1385.2075428896105
741012087.0,975.8073904991758,1060.6599760334057,-0.16284720004352948,42.6140621880096,1441.2493358583017
741012107.0,1060.6600208749624,1060.659991338554,-0.1756280254576268,45.000000797763434,1499.9997657029073
741012127.0,1060.6605496804298,975.8071977768059,-0.16320143012370636,47.38595889055616,1441.2496275390374
741012147.0,1060.6602605412074,890.9539986136999,-0.15036684775623144,49.96976037209937,1385.207282661004
741012167.0,1060.6602140500652,806.101781727079,-0.13852032132888326,52.76516536616299,1332.2162632892234
741012187.0,1060.6604102076515,721.2491287586813,-0.12907191062822676,55.78429602737616,1282.6538159289203
741012207.0,1060.660606365238,636.3964757909439,-0.11962349927091509,59.03623902042676,1236.9322521036502
741012227.0,1060.6602272258338,551.5429811412837,-0.11216521518406353,62.52558270406743,1195.4914377213129
741012247.0,1060.6600907355391,466.6904687675575,-0.10569498780361641,66.25050420173845,1158.7923980237379
741012267.0,1060.6599542445958,381.83795639391076,-0.09922476050326168,70.20110581453073,1127.2975487781503
741012287.0,1060.660060402762,296.985007939997,-0.09515264780642951,74.35774397389645,1101.453520887155
741012307.0,1060.6601665605474,212.13205948523398,-0.0910805355762534,78.690066166513,1081.6653824495334
741012327.0,1060.6605153664127,127.2786749500947,-0.08940653783979258,83.15725784072049,1068.2699050120227
741012347.0,1060.660288876317,42.42586709000305,-0.08831260892979387,87.70941932182176,1061.5084562063228
741012367.0,1060.6603050346823,-42.42595849407518,-0.0882067368061783,92.29058557298688,1061.5084760049758
741012387.0,1060.6603211926667,-127.27920243520353,-0.08951092304648967,96.84277148980709,1068.269775068579
741012407.0,1060.6597620544221,-212.13186970101577,-0.09139517838332267,101.30992817795824,1081.664948578899
741012427.0,1060.6600208608675,-296.9848405445613,-0.09439245068702462,105.64224819557008,1101.4534376748998
741012447.0,1060.6605223156605,-381.8375382903208,-0.09908280793749213,109.7988644114694,1127.2979416492083
741012467.0,1060.6604484742247,-466.690368539195,-0.1050582635613182,113.74948413850099,1158.7926851015213
741012487.0,1060.6597993361793,-551.5433312920331,-0.11231881802513044,117.47444164586572,1195.4912196334096
741012507.0,1060.6599681430914,-636.3958884437818,-0.11998735925226356,120.96375286028855,1236.9314026450513
741012527.0,1060.6601369501163,-721.2491547735037,-0.12836093021638817,124.21571179732086,1282.6536045934354
741012547.0,1060.6599731088795,-806.1015713303127,-0.1390076550337085,127.23483369968582,1332.2159441533975
741012567.0,1060.659809267643,-890.9546970662125,-0.15035940978469853,130.0302737546976,1385.207386357732
741012587.0,1060.659888074486,-975.8068405262879,-0.16269922113201574,132.61404846528146,1441.2488987638733
741012607.0,1060.659966881978,-1060.6604023426437,-0.17644909029661449,135.00001176157014,1500.0000181479124
741012627.0,975.8073365061913,-1060.6597084700218,-0.1629632362622715,137.38593218992625,1441.2491023938294
741012647.0,890.9547061310534,-1060.6604329536804,-0.15088744004492582,139.96974255080826,1385.2078697475554
741012667.0,806.1015004586569,-1060.6605807627925,-0.13939171347089996,142.76518454023034,1332.2163850612867
741012687.0,721.2485374349893,-1060.6597462954992,-0.1288840427565674,145.78430119373357,1282.6529344151302
741012707.0,636.3963923562792,-1060.6599245846382,-0.12019441801612629,149.0362260863064,1236.9316245548812
741012727.0,551.5428540360018,-1060.6599317990792,-0.11167687476211086,152.52558157655096,1195.4911169733575
741012747.0,466.6909516061336,-1060.6605461688773,-0.10538536555191058,156.25049141894715,1158.7930093464922
741012767.0,381.8378985826649,-1060.6600071879493,-0.10025399330800155,160.2011094905982,1127.2975790100706
741012787.0,296.9848455591962,-1060.6601773861125,-0.09582765099787593,164.3577537486142,1101.453589755174
741012807.0,212.13179253610835,-1060.6603475840868,-0.09140130887749365,168.69008191272343,1081.665507604721
741012827.0,127.27980010605819,-1060.6605482620084,-0.08978106867084534,173.1571981339798,1068.2700717302262
741012847.0,42.42641443444063,-1060.660577865232,-0.0883329099507364,177.70939042550611,1061.5087668404678
741012867.0,-42.42672858818037,-1060.6603343714094,-0.08857783675387054,-177.70937295706284,1061.5085360973621
741012887.0,-127.27905366637941,-1060.6603944550516,-0.08993578079400777,-173.1572369006162,1068.2698300840264
741012907.0,-212.13195404092033,-1060.659877863835,-0.09187379347076785,-168.6900686443728,1081.6650786797845
741012927.0,-296.9848544157293,-1060.660779628551,-0.09522186431456703,-164.35776175184162,1101.454172080971
741012947.0,-381.83808743841905,-1060.6601224423946,-0.10013806058123009,-160.20110244345057,1127.2977514206907
741012967.0,-466.68992721942845,-1060.66034550957,-0.10558720575511416,-156.25053378404192,1158.792413120036
741012987.0,-551.5437355388411,-1060.6598208271746,-0.11178849974521654,-152.5255416402487,1195.4914252010649
741013007.0,-636.3959079677315,-1060.659903299679,-0.12021582823922472,-149.036244818881,1236.931357087271
741013027.0,-721.2494736386834,-1060.6598146981314,-0.12881523756959723,-145.78426832985107,1282.6535174159671
741013047.0,-806.1014034194937,-1060.6603332516722,-0.13964068121390483,-142.76518142190844,1332.2161292854946
741013067.0,-890.9547264419847,-1060.660680730312,-0.15063820522800597,-139.96974849940008,1385.20807253517
741013087.0,-975.8078068157469,-1060.6600459338672,-0.16262378641511077,-137.38592751350947,1441.2496691701238
741013107.0,-1060.660069245087,-1060.660423892657,-0.17642741345957802,-135.00000957884913,1500.0001057677107
741013127.0,-1060.66014805193,-975.8068620763809,-0.16267754421505742,-132.6140420982398,1441.2491046799978
741013147.0,-1060.6602268591544,-890.9547186164945,-0.15033773267759898,-130.03026332758213,1385.2077199705138
741013167.0,-1060.6600630181854,-806.101592880326,-0.13898597819684255,-127.23483209784419,1332.2160287753409
741013187.0,-1060.6604744732906,-721.2485996486585,-0.12891932201586087,-124.21568281381325,1282.6535715480843
741013207.0,-1060.6600679839737,-636.3959099937952,-0.11996568241539762,-120.96375133685346,1236.9314993452945
741013227.0,-1060.660236790618,-551.543352842315,-0.11229714091814458,-117.47443288963373,1195.491617692601
741013247.0,-1060.6595876528402,-466.69039008920845,-0.10503658672433858,-113.74950225547202,1158.7919058577818
741013267.0,-1060.6600891073654,-381.8369831652867,-0.09964119992690712,-109.79884532261366,1127.2973460174612
741013287.0,-1060.6600152659296,-296.98486209484315,-0.09437077358001034,-105.64224935353519,1101.4534380977777
741013307.0,-1060.6602740726428,-212.13189125102917,-0.09137350154635726,-101.30992397831575,1081.6654548803858
741013327.0,-1060.6597149343982,-127.27922398521679,-0.08948924620968057,-96.84277651153926,1068.2691756963682
741013347.0,-1060.6605490374534,-42.4263856449748,-0.08777707208931318,-92.29060808399154,1061.508736885066
741013367.0,-1060.6603225467088,42.42642221503724,-0.08887100091925504,-87.70938945507733,1061.50851203693
741013387.0,-1060.6600960566132,127.27923007512892,-0.08996492982929283,-83.1572255996303,1068.2695548293705
741013407.0,-1060.6598695662497,212.13203793495214,-0.09105885846926753,-78.69006420060678,1081.6650869963075
741013427.0,-1060.6599757240351,296.9849863897151,-0.09513097069941523,-74.35774386570937,1101.4534335339874
741013447.0,-1060.6600818818206,381.83793484381766,-0.09920308358613283,-70.20110904244835,1127.2976615709545
741013467.0,-1060.659945391526,466.69044721754403,-0.10567331096666521,-66.25050228277198,1158.7922563091568
741013487.0,-1060.6598089005824,551.5429595911908,-0.11214353826704837,-62.52557437079766,1195.4910566338963
741013507.0,-1060.66024770663,636.3960486397759,-0.11919383428397623,-59.03624743928261,1236.9317247889674
741013527.0,-1060.6604438642162,721.2487016075131,-0.12864224564123106,-55.78431265112546,1282.6536035690851
741013547.0,-1060.6603973733418,806.1023368519243,-0.1390787131284128,-52.76515112869074,1332.2167451410855
741013567.0,-1060.6603508821995,890.9545537385452,-0.15092523955570414,-49.96974519387627,1385.2077088873714
741013587.0,-1060.660304391325,975.8067706260952,-0.16277176559674444,-47.38596478527606,1441.2491578180461
741013607.0,-1060.6605905484446,1060.6605464633994,-0.1761864172570995,-45.00000119071412,1500.0005610554326
741013627.0,-975.8069348783404,1060.6600441705264,-0.16291573815658467,-42.61404702422086,1441.2490775214687
741013647.0,-890.9544298005393,1060.6606952268992,-0.15080519717548668,-40.0302417198412,1385.2078928378994
741013667.0,-806.1013494267772,1060.6600604304545,-0.13881961598838188,-37.23482382903221,1332.2158794054387
741013687.0,-721.2486017008961,1060.660275406451,-0.12910718950104183,-34.21568788982539,1282.6534080883996
741013707.0,-636.395853975015,1060.659781204017,-0.12009979229060264,-30.963755946309163,1236.9312246120808
741013727.0,-551.5428636007861,1060.6602692771392,-0.11208045140654121,-27.47441136816629,1195.4914208023447
741013747.0,-466.69044852278597,1060.6606248471467,-0.10534620889586677,-23.74948424619239,1158.792878750788
741013767.0,-381.8380334454347,1060.6602712388033,-0.09931699574235608,-19.798892412900226,1127.2978731328506
741013787.0,-296.98455777428387,1060.6605963286602,-0.09538885626204774,-15.642225959770364,1101.4539155864197
741013807.0,-212.13190004820382,1060.659806639861,-0.09175775752214577,-11.309929291066661,1081.6649982500905
741013827.0,-127.27957497000477,1060.660575901934,-0.089694784204994,-6.842789700420578,1068.2700723492947
741013847.0,-42.42585665050609,1060.6604649111464,-0.08816475894843734,-2.290579735391969,1061.508631683256
741013867.0,42.42589313108317,1060.660392491485,-0.08809191309160269,2.290581859116554,1061.508560779498
741013887.0,127.27927880243283,1060.660422094977,-0.08954007208183157,6.842774911733696,1068.269884350936
741013907.0,212.13208917717282,1060.6603191951654,-0.09227332925536302,11.3099337901166,1081.6655379431584
741013927.0,296.98489955218065,1060.6602162950853,-0.09500658615888824,15.642248410265049,1101.4536417812399
741013947.0,381.83795257564935,1060.6603864932483,-0.09943292846901386,19.798886561415934,1127.29795418211
741013967.0,466.69043030250816,1060.6604241881082,-0.10514436896278312,23.74948741734763,1158.7926877465347
741013987.0,551.5437259740569,1060.6601583052345,-0.11196882642354922,27.474450491047605,1195.491720204465
741014007.0,636.3964463493768,1060.6597599192464,-0.1200783822575886,30.963779982582682,1236.931511134739
741014027.0,721.2485914279738,1060.6599382079282,-0.12876800653782539,34.21569598018891,1282.6531234734052
741014047.0,806.1023723967121,1060.660218519952,-0.13897863585532377,37.234854742769215,1332.2166242523772
741014067.0,890.9547601237699,1060.6599607277858,-0.15006637547605806,40.030271722366024,1385.2075428896105
741014087.0,975.8073904991758,1060.6599760334057,-0.16284720004352948,42.6140621880096,1441.2493358583017
741014107.0,1060.6600208749624,1060.659991338554,-0.1756280254576268,45.000000797763434,1499.9997657029073
741014127.0,1060.6605496804298,975.8071977768059,-0.16320143012370636,47.38595889055616,1441.2496275390374
741014147.0,1060.6602605412074,890.9539986136999,-0.15036684775623144,49.96976037209937,1385.207282661004
741014167.0,1060.6602140500652,806.101781727079,-0.13852032132888326,52.76516536616299,1332.2162632892234
741014187.0,1060.6604102076515,721.2491287586813,-0.12907191062822676,55.78429602737616,1282.6538159289203
741014207.0,1060.660606365238,636.3964757909439,-0.11962349927091509,59.03623902042676,1236.9322521036502
741014227.0,1060.6602272258338,551.5429811412837,-0.11216521518406353,62.52558270406743,1195.4914377213129
741014247.0,1060.6600907355391,466.6904687675575,-0.10569498780361641,66.25050420173845,1158.7923980237379
741014267.0,1060.6599542445958,381.83795639391076,-0.09922476050326168,70.20110581453073,1127.2975487781503
741014287.0,1060.660060402762,296.985007939997,-0.09515264780642951,74.35774397389645,1101.453520887155
741014307.0,1060.6601665605474,212.13205948523398,-0.0910805355762534,78.690066166513,1081.6653824495334
741014327.0,1060.6605153664127,127.2786749500947,-0.08940653783979258,83.15725784072049,1068.2699050120227
741014347.0,1060.660288876317,42.42586709000305,-0.08831260892979387,87.70941932182176,1061.5084562063228
741014367.0,1060.6603050346823,-42.42595849407518,-0.0882067368061783,92.29058557298688,1061.5084760049758
741014387.0,1060.6603211926667,-127.27920243520353,-0.08951092304648967,96.84277148980709,1068.269775068579
741014407.0,1060.6597620544221,-212.13186970101577,-0.09139517838332267,101.30992817795824,1081.664948578899
741014427.0,1060.6600208608675,-296.9848405445613,-0.09439245068702462,105.64224819557008,1101.4534376748998
741014447.0,1060.6605223156605,-381.8375382903208,-0.09908280793749213,109.7988644114694,1127.2979416492083
741014467.0,1060.6604484742247,-466.690368539195,-0.1050582635613182,113.74948413850099,1158.7926851015213
741014487.0,1060.6597993361793,-551.5433312920331,-0.11231881802513044,117.47444164586572,1195.4912196334096
741014507.0,1060.6599681430914,-636.3958884437818,-0.11998735925226356,120.96375286028855,1236.9314026450513
741014527.0,1060.6601369501163,-721.2491547735037,-0.12836093021638817,124.21571179732086,1282.6536045934354
741014547.0,1060.6599731088795,-806.1015713303127,-0.1390076550337085,127.23483369968582,1332.2159441533975
741014567.0,1060.659809267643,-890.9546970662125,-0.15035940978469853,130.0302737546976,1385.207386357732
741014587.0,1060.659888074486,-975.8068405262879,-0.16269922113201574,132.61404846528146,1441.2488987638733
741014607.0,1060.659966881978,-1060.6604023426437,-0.17644909029661449,135.00001176157014,1500.0000181479124
741014627.0,975.8073365061913,-1060.6597084700218,-0.1629632362622715,137.38593218992625,1441.2491023938294
741014647.0,890.9547061310534,-1060.6604329536804,-0.15088744004492582,139.96974255080826,1385.2078697475554
741014667.0,806.1015004586569,-1060.6605807627925,-0.13939171347089996,142.76518454023034,1332.2163850612867
741014687.0,721.2485374349893,-1060.6597462954992,-0.1288840427565674,145.78430119373357,1282.6529344151302
741014707.0,636.3963923562792,-1060.6599245846382,-0.12019441801612629,149.0362260863064,1236.9316245548812
741014727.0,551.5428540360018,-1060.6599317990792,-0.11167687476211086,152.52558157655096,1195.4911169733575
741014747.0,466.6909516061336,-1060.6605461688773,-0.10538536555191058,156.25049141894715,1158.7930093464922
741014767.0,381.8378985826649,-1060.6600071879493,-0.10025399330800155,160.2011094905982,1127.2975790100706
741014787.0,296.9848455591962,-1060.6601773861125,-0.09582765099787593,164.3577537486142,1101.453589755174
741014807.0,212.13179253610835,-1060.6603475840868,-0.09140130887749365,168.69008191272343,1081.665507604721
741014827.0,127.27980010605819,-1060.6605482620084,-0.08978106867084534,173.1571981339798,1068.2700717302262
741014847.0,42.42641443444063,-1060.660577865232,-0.0883329099507364,177.70939042550611,1061.5087668404678
741014867.0,-42.42672858818037,-1060.6603343714094,-0.08857783675387054,-177.70937295706284,1061.5085360973621
741014887.0,-127.27905366637941,-1060.6603944550516,-0.08993578079400777,-173.1572369006162,1068.2698300840264
741014907.0,-212.13195404092033,-1060.659877863835,-0.09187379347076785,-168.6900686443728,1081.6650786797845
741014927.0,-296.9848544157293,-1060.660779628551,-0.09522186431456703,-164.35776175184162,1101.454172080971
741014947.0,-381.83808743841905,-1060.6601224423946,-0.10013806058123009,-160.20110244345057,1127.2977514206907
741014967.0,-466.68992721942845,-1060.66034550957,-0.10558720575511416,-156.25053378404192,1158.792413120036
741014987.0,-551.5437355388411,-1060.6598208271746,-0.11178849974521654,-152.5255416402487,1195.4914252010649
741015007.0,-636.3959079677315,-1060.659903299679,-0.12021582823922472,-149.036244818881,1236.931357087271
741015027.0,-721.2494736386834,-1060.6598146981314,-0.12881523756959723,-145.78426832985107,1282.6535174159671
741015047.0,-806.1014034194937,-1060.6603332516722,-0.13964068121390483,-142.76518142190844,1332.2161292854946
741015067.0,-890.9547264419847,-1060.660680730312,-0.15063820522800597,-139.96974849940008,1385.20807253517
